gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,some high school,free/reduced,none,37,57,54
male,group C,bachelor's degree,free/reduced,none,50,49,45
female,group C,high school,standard,none,76,76,81
female,group B,associate's degree,standard,none,83,93,86
female,group E,bachelor's degree,free/reduced,none,68,94,91
male,group C,some high school,standard,none,73,73,69
male,group B,some college,free/reduced,none,50,42,43
female,group D,some college,free/reduced,completed,86,91,89
male,group B,bachelor's degree,standard,none,40,47,46
female,group C,master's degree,standard,completed,98,100,100
female,group C,bachelor's degree,standard,completed,89,96,98
male,group D,master's degree,standard,none,69,65,62
female,group D,master's degree,standard,completed,91,97,100
female,group C,some high school,free/reduced,completed,55,68,70
male,group D,some high school,standard,none,51,60,52
female,group C,some college,standard,completed,66,84,86
female,group E,associate's degree,standard,completed,87,92,98
female,group C,associate's degree,standard,none,74,82,81
female,group A,some college,standard,none,62,69,74
male,group C,some college,standard,none,58,53,45
female,group D,associate's degree,standard,none,79,75,81
female,group D,high school,free/reduced,completed,52,65,67
female,group D,some college,free/reduced,none,65,77,69
female,group C,master's degree,standard,completed,91,100,100
female,group E,associate's degree,standard,none,84,88,84
female,group D,associate's degree,standard,completed,70,78,77
male,group D,some high school,standard,none,50,52,52
female,group E,master's degree,standard,completed,68,77,81
male,group B,associate's degree,standard,none,88,86,87
male,group B,high school,standard,none,38,46,43
female,group C,high school,free/reduced,none,46,53,48
male,group A,master's degree,standard,none,65,61,59
female,group A,associate's degree,standard,completed,59,72,71
female,group D,high school,standard,none,73,76,77
male,group B,some high school,standard,completed,79,69,72
male,group B,bachelor's degree,free/reduced,completed,53,54,53
male,group D,some high school,free/reduced,none,34,40,42
female,group E,some high school,standard,completed,88,91,92
male,group E,some college,free/reduced,none,81,78,71
male,group B,high school,standard,none,61,68,62
female,group E,some high school,standard,none,80,84,79
female,group A,associate's degree,standard,none,54,57,60
male,group C,some college,standard,none,94,88,85
male,group E,bachelor's degree,standard,none,91,90,88
female,group B,associate's degree,standard,none,60,78,73
female,group C,bachelor's degree,standard,completed,67,71,75
female,group B,some college,standard,completed,61,73,80
male,group C,bachelor's degree,standard,none,68,65,59
female,group C,some college,free/reduced,none,48,62,56
female,group C,associate's degree,free/reduced,none,61,76,72
female,group B,associate's degree,free/reduced,none,49,59,60
male,group D,associate's degree,free/reduced,none,54,43,48
female,group C,some high school,free/reduced,completed,41,55,55
male,group B,some college,standard,completed,68,71,66
male,group C,some college,standard,none,61,48,49
male,group D,associate's degree,standard,none,71,68,68
female,group C,bachelor's degree,standard,completed,68,79,78
male,group C,some college,free/reduced,none,43,47,36
female,group D,some college,standard,completed,78,94,96
female,group D,associate's degree,standard,completed,78,82,86
male,group D,high school,free/reduced,completed,73,66,71
female,group C,master's degree,free/reduced,none,28,30,37
female,group C,some college,standard,none,58,74,76
male,group D,bachelor's degree,standard,none,86,81,75
female,group E,some high school,standard,completed,87,100,100
female,group B,master's degree,free/reduced,none,82,93,89
female,group C,master's degree,standard,completed,83,90,99
male,group C,associate's degree,standard,none,73,71,71
female,group B,some college,standard,none,76,96,88
female,group E,associate's degree,standard,completed,78,87,85
female,group D,high school,standard,completed,77,85,90
female,group E,high school,standard,none,75,78,74
male,group E,high school,standard,none,100,87,85
male,group D,some high school,standard,completed,42,43,45
female,group E,associate's degree,free/reduced,none,97,94,97
female,group B,high school,standard,none,53,69,62
female,group A,some high school,standard,none,56,68,68
male,group C,some college,standard,none,84,70,68
female,group C,bachelor's degree,free/reduced,none,76,83,83
female,group D,associate's degree,standard,completed,78,74,82
male,group D,some high school,free/reduced,none,53,60,55
female,group C,high school,standard,none,59,72,64
female,group A,some college,free/reduced,none,44,55,51
female,group E,some college,standard,none,93,89,88
male,group D,bachelor's degree,free/reduced,completed,74,80,87
male,group C,associate's degree,standard,none,74,71,69
male,group E,master's degree,free/reduced,none,82,81,68
female,group E,high school,standard,none,73,78,70
female,group D,some high school,standard,none,60,70,69
female,group E,high school,standard,none,68,79,81
female,group B,associate's degree,free/reduced,none,71,77,75
female,group B,high school,standard,completed,70,73,72
female,group B,high school,standard,none,52,55,51
female,group C,bachelor's degree,standard,completed,75,88,93
female,group B,some high school,standard,none,66,71,69
female,group B,some high school,free/reduced,none,67,84,82
male,group D,some high school,standard,completed,80,72,71
female,group C,associate's degree,standard,none,73,81,78
female,group A,some high school,free/reduced,none,70,76,69
female,group D,some high school,standard,none,58,61,59
male,group B,some high school,standard,completed,67,71,69
female,group C,associate's degree,standard,completed,57,67,69
female,group B,some college,standard,none,76,73,73
female,group D,high school,standard,none,61,79,68
female,group E,some high school,free/reduced,none,46,52,52
male,group D,some college,standard,none,78,77,72
male,group B,some college,standard,completed,99,94,93
male,group D,some high school,standard,none,65,63,62
female,group E,high school,standard,none,66,68,67
female,group C,associate's degree,free/reduced,none,60,88,85
female,group C,bachelor's degree,standard,none,68,70,74
male,group E,some high school,standard,none,75,59,61
male,group A,high school,standard,none,61,45,44
male,group A,master's degree,standard,none,73,76,71
female,group B,some college,standard,completed,56,63,71
male,group C,bachelor's degree,standard,none,96,92,89
male,group E,some high school,standard,completed,77,71,70
female,group D,bachelor's degree,standard,none,95,95,94
female,group C,some high school,free/reduced,none,41,61,51
female,group D,associate's degree,standard,completed,98,100,99
male,group D,some college,standard,none,78,68,70
female,group E,bachelor's degree,standard,none,88,80,87
female,group B,high school,free/reduced,none,32,53,41
male,group B,some high school,standard,completed,88,87,84
female,group E,associate's degree,free/reduced,none,63,64,63
male,group B,some college,free/reduced,none,69,75,67
male,group B,high school,free/reduced,completed,46,52,51
male,group B,some college,free/reduced,none,56,51,45
male,group C,high school,free/reduced,none,63,55,52
female,group B,associate's degree,standard,none,68,74,81
female,group D,high school,free/reduced,none,55,58,56
female,group B,associate's degree,standard,completed,65,68,79
male,group C,associate's degree,standard,completed,70,53,62
female,group D,some high school,standard,none,73,85,81
male,group B,associate's degree,standard,none,90,85,87
male,group B,some high school,standard,none,55,39,32
female,group B,high school,standard,completed,63,63,69
female,group D,some college,standard,none,50,51,60
male,group B,master's degree,standard,none,72,71,71
male,group B,some college,free/reduced,completed,72,85,83
female,group C,some high school,standard,none,68,71,74
male,group B,bachelor's degree,standard,none,81,73,74
male,group A,some high school,standard,none,77,71,72
female,group D,high school,free/reduced,none,35,48,54
female,group C,some high school,standard,completed,83,89,93
male,group B,associate's degree,free/reduced,none,64,65,57
female,group D,high school,free/reduced,none,69,74,77
female,group B,some college,free/reduced,completed,67,84,78
female,group E,high school,free/reduced,completed,52,49,54
male,group C,associate's degree,standard,completed,76,76,77
female,group D,some college,free/reduced,none,50,77,71
male,group B,high school,standard,completed,72,63,59
male,group D,some college,standard,none,96,83,86
female,group D,some college,free/reduced,completed,75,79,82
female,group D,associate's degree,standard,completed,76,91,95
female,group B,some college,standard,completed,87,89,95
male,group A,some college,standard,completed,80,81,80
female,group A,some high school,standard,completed,81,88,91
female,group C,master's degree,free/reduced,none,55,58,60
male,group E,some college,standard,none,84,74,72
female,group D,associate's degree,free/reduced,completed,57,77,82
female,group B,high school,free/reduced,none,76,90,81
female,group A,associate's degree,standard,none,76,76,76
female,group B,high school,standard,none,48,62,57
male,group D,some college,standard,none,59,53,54
male,group E,some high school,standard,completed,77,74,67
male,group A,some college,standard,none,89,82,81
female,group B,high school,standard,none,60,65,60
female,group C,some college,standard,none,59,80,78
male,group E,bachelor's degree,standard,none,67,65,55
female,group B,associate's degree,free/reduced,none,57,78,73
female,group C,high school,standard,completed,57,66,61
female,group A,some college,standard,completed,49,69,62
male,group C,some college,free/reduced,none,66,57,54
female,group A,some college,free/reduced,none,33,47,46
male,group D,high school,standard,completed,97,82,93
female,group D,some college,free/reduced,none,64,72,68
male,group E,master's degree,free/reduced,none,99,88,89
male,group E,high school,free/reduced,completed,80,87,81
male,group B,high school,standard,none,77,68,65
male,group D,some high school,standard,none,78,67,67
female,group B,high school,standard,none,30,44,40
female,group E,high school,standard,none,76,75,74
female,group B,some high school,free/reduced,completed,49,73,70
male,group D,bachelor's degree,standard,completed,72,84,81
female,group E,high school,standard,completed,73,76,76
male,group A,associate's degree,standard,none,72,67,66
female,group C,some high school,free/reduced,completed,65,90,89
female,group D,bachelor's degree,standard,none,71,83,83
male,group B,bachelor's degree,standard,completed,93,83,82
female,group B,some college,standard,completed,64,71,74
female,group C,some high school,standard,none,83,83,78
female,group C,high school,standard,none,52,57,57
male,group C,some college,standard,completed,70,70,64
female,group C,some high school,standard,completed,66,71,74
male,group D,bachelor's degree,standard,none,47,38,47
female,group A,high school,standard,none,63,70,65
female,group C,high school,standard,none,63,80,69
female,group B,bachelor's degree,standard,none,59,68,70
male,group E,associate's degree,free/reduced,completed,58,54,55
female,group C,associate's degree,standard,none,66,80,80
male,group C,master's degree,standard,none,39,35,36
male,group B,master's degree,free/reduced,none,58,63,60
female,group D,some college,free/reduced,none,78,84,86
female,group B,associate's degree,standard,completed,73,74,78
female,group B,master's degree,free/reduced,none,73,71,75
female,group E,associate's degree,standard,completed,72,83,83
female,group A,some college,standard,none,60,67,66
male,group C,some college,standard,none,58,70,62
male,group D,some high school,standard,none,64,66,53
female,group E,associate's degree,free/reduced,completed,69,83,76
male,group D,high school,standard,completed,76,56,69
female,group C,high school,standard,completed,64,72,79
male,group D,associate's degree,free/reduced,none,67,69,62
female,group C,associate's degree,standard,completed,62,74,77
female,group B,master's degree,standard,none,77,90,87
male,group A,some high school,free/reduced,none,54,61,49
male,group E,some college,standard,completed,89,80,79
female,group D,some college,free/reduced,none,59,76,75
male,group D,some college,standard,completed,70,71,76
male,group E,some high school,free/reduced,none,76,76,68
male,group C,high school,standard,none,65,67,61
female,group D,high school,standard,none,48,53,51
male,group C,some high school,free/reduced,completed,46,50,40
male,group A,master's degree,standard,none,81,73,72
male,group C,some college,free/reduced,none,43,52,50
female,group D,associate's degree,free/reduced,none,69,79,79
male,group C,master's degree,standard,none,80,77,79
male,group C,some college,standard,none,71,67,65
female,group B,associate's degree,free/reduced,none,56,62,61
female,group C,some college,standard,none,78,87,85
male,group D,bachelor's degree,standard,none,87,73,72
female,group B,associate's degree,standard,none,70,79,73
female,group E,associate's degree,free/reduced,completed,75,86,84
male,group C,high school,standard,completed,46,39,39
female,group C,some high school,free/reduced,none,66,70,64
female,group D,some high school,standard,completed,62,72,78
female,group C,some high school,standard,completed,90,92,93
male,group C,some college,standard,none,83,83,79
female,group B,associate's degree,standard,none,40,59,57
male,group D,associate's degree,standard,none,37,45,41
female,group C,bachelor's degree,free/reduced,completed,66,80,85
male,group B,high school,standard,none,60,52,53
male,group C,high school,standard,completed,78,82,76
male,group C,some high school,standard,none,78,73,71
male,group C,some college,standard,none,64,54,50
female,group D,bachelor's degree,standard,none,78,87,89
female,group D,some high school,standard,none,53,62,61
female,group C,some college,standard,completed,84,100,100
male,group E,some high school,free/reduced,completed,49,55,52
female,group C,some high school,free/reduced,none,63,72,68
male,group E,associate's degree,standard,none,78,82,74
female,group C,bachelor's degree,free/reduced,none,64,75,78
female,group C,associate's degree,standard,completed,79,92,97
male,group D,some high school,free/reduced,none,64,55,51
female,group E,some college,standard,completed,100,100,100
female,group D,some high school,standard,completed,70,83,87
male,group A,some high school,free/reduced,none,64,65,53
male,group C,high school,free/reduced,none,67,58,55
male,group C,associate's degree,standard,none,86,71,75
female,group E,some college,free/reduced,none,70,73,71
male,group D,associate's degree,free/reduced,completed,67,76,70
male,group A,some high school,standard,completed,74,64,65
male,group C,associate's degree,standard,completed,67,56,67
female,group C,some college,standard,none,75,85,83
female,group D,some high school,standard,none,70,83,79
male,group B,associate's degree,standard,completed,83,84,82
male,group D,some college,free/reduced,none,57,48,49
female,group E,some high school,standard,completed,100,100,100
male,group B,master's degree,standard,none,84,70,65
female,group C,associate's degree,standard,none,71,82,80
male,group C,associate's degree,standard,none,76,79,76
female,group D,some high school,free/reduced,completed,80,91,95
female,group C,associate's degree,standard,completed,76,74,79
female,group D,some college,standard,none,71,79,79
female,group C,some high school,standard,none,52,62,59
male,group D,some college,standard,none,80,79,74
female,group B,high school,standard,none,68,71,67
female,group C,some college,standard,completed,53,56,64
male,group C,high school,standard,none,53,50,52
male,group A,associate's degree,free/reduced,none,69,69,61
male,group C,some college,standard,completed,70,69,70
male,group E,bachelor's degree,standard,completed,85,81,85
male,group B,some college,free/reduced,none,84,73,71
male,group B,some college,free/reduced,completed,54,61,58
female,group C,some high school,free/reduced,none,39,49,50
male,group D,bachelor's degree,standard,completed,98,87,93
female,group C,high school,standard,completed,78,92,89
male,group E,associate's degree,standard,none,58,42,51
female,group E,high school,free/reduced,completed,76,86,84
male,group E,master's degree,free/reduced,none,74,65,59
male,group D,bachelor's degree,free/reduced,completed,53,60,54
female,group C,master's degree,standard,none,66,75,69
male,group D,some high school,standard,completed,76,85,78
male,group B,associate's degree,standard,none,75,72,68
male,group A,some college,standard,none,83,71,73
female,group D,some college,standard,completed,94,96,100
male,group B,bachelor's degree,standard,completed,94,98,100
male,group D,associate's degree,standard,none,74,67,67
male,group D,bachelor's degree,standard,none,76,77,73
male,group D,some college,free/reduced,completed,54,47,53
female,group C,master's degree,free/reduced,none,40,52,48
female,group B,some high school,free/reduced,none,26,38,30
female,group B,some college,free/reduced,none,57,70,72
female,group A,bachelor's degree,standard,none,57,62,66
male,group B,associate's degree,free/reduced,completed,65,68,73
female,group C,associate's degree,standard,none,73,83,83
male,group B,bachelor's degree,standard,none,80,71,68
male,group D,high school,standard,none,84,68,67
female,group B,associate's degree,free/reduced,none,51,66,66
male,group A,associate's degree,standard,completed,80,72,79
female,group E,some high school,free/reduced,completed,58,65,67
female,group E,some high school,standard,none,74,69,72
female,group E,some college,standard,none,72,78,71
female,group D,some college,standard,completed,79,83,93
female,group B,associate's degree,standard,none,77,87,80
male,group C,associate's degree,standard,completed,95,95,90
female,group B,some high school,free/reduced,completed,54,62,57
male,group B,associate's degree,standard,none,63,68,61
male,group B,some college,standard,none,70,64,66
male,group B,some college,free/reduced,none,45,44,37
female,group C,some college,free/reduced,none,51,63,59
female,group B,associate's degree,standard,completed,54,73,74
male,group D,associate's degree,standard,completed,89,81,80
female,group D,bachelor's degree,free/reduced,none,44,60,60
male,group A,associate's degree,free/reduced,none,44,52,46
male,group B,some college,free/reduced,none,79,81,76
female,group C,high school,standard,none,73,80,80
male,group D,high school,standard,none,88,76,72
female,group C,some college,standard,completed,70,80,83
male,group E,high school,free/reduced,none,55,46,44
female,group B,some high school,standard,completed,46,58,61
male,group C,some high school,standard,completed,58,63,52
female,group B,associate's degree,free/reduced,completed,68,82,82
male,group E,some high school,standard,completed,97,83,81
female,group D,master's degree,free/reduced,completed,59,68,79
female,group E,associate's degree,standard,none,77,83,82
male,group C,some college,free/reduced,none,68,63,62
female,group C,bachelor's degree,standard,completed,49,60,60
male,group D,high school,standard,completed,81,77,78
female,group B,high school,standard,none,63,73,70
male,group C,some college,free/reduced,none,62,57,57
male,group E,some high school,free/reduced,none,53,45,48
male,group B,some high school,standard,completed,87,91,85
female,group D,some high school,standard,none,66,66,64
female,group B,some college,free/reduced,completed,38,48,49
female,group A,associate's degree,free/reduced,completed,65,82,78
male,group B,high school,standard,none,63,44,50
male,group B,associate's degree,standard,completed,76,69,71
female,group D,some high school,standard,completed,49,61,62
male,group C,associate's degree,standard,none,64,61,55
female,group C,bachelor's degree,free/reduced,completed,64,73,83
male,group C,associate's degree,free/reduced,none,71,72,67
male,group B,some high school,free/reduced,completed,69,74,71
male,group A,some college,free/reduced,none,71,69,64
male,group C,some high school,free/reduced,none,56,63,48
male,group C,some college,free/reduced,none,57,70,60
male,group B,high school,standard,completed,52,41,40
female,group D,some college,standard,none,59,63,70
male,group D,some high school,standard,none,95,81,87
female,group A,some college,free/reduced,completed,68,79,82
male,group D,associate's degree,standard,none,70,73,67
male,group D,associate's degree,free/reduced,completed,53,48,48
female,group E,some college,standard,completed,53,69,66
female,group B,associate's degree,free/reduced,none,56,83,68
male,group E,bachelor's degree,standard,none,100,93,97
male,group E,master's degree,standard,completed,93,92,86
female,group C,high school,standard,none,76,85,82
male,group D,some high school,free/reduced,none,77,81,76
female,group E,some high school,standard,none,48,56,53
male,group D,some college,standard,none,56,46,47
female,group D,some high school,standard,none,74,78,81
female,group E,some college,standard,none,72,82,73
female,group D,high school,standard,none,46,62,55
male,group B,some high school,standard,none,78,77,72
male,group C,some college,standard,none,57,53,45
female,group B,associate's degree,standard,completed,74,87,93
female,group C,associate's degree,free/reduced,none,49,61,62
male,group C,associate's degree,free/reduced,completed,64,64,63
female,group D,associate's degree,free/reduced,none,50,57,65
female,group D,some high school,standard,completed,68,85,85
male,group B,associate's degree,standard,none,69,70,63
male,group C,bachelor's degree,standard,completed,67,61,68
male,group D,some high school,standard,none,73,77,76
female,group C,some high school,standard,completed,48,71,67
male,group D,associate's degree,standard,none,73,61,59
female,group B,some college,free/reduced,none,55,70,67
female,group D,master's degree,standard,none,85,100,100
female,group B,some college,standard,none,61,60,61
female,group D,associate's degree,free/reduced,none,41,50,56
male,group C,some high school,free/reduced,completed,67,63,58
male,group C,some college,standard,none,62,56,52
male,group B,bachelor's degree,free/reduced,none,56,59,52
female,group B,some college,standard,none,69,73,72
female,group B,high school,standard,none,60,71,68
male,group C,bachelor's degree,free/reduced,none,60,74,61
male,group E,some college,standard,completed,100,100,100
male,group B,master's degree,standard,none,60,60,51
male,group B,high school,standard,none,71,64,54
female,group D,high school,standard,completed,89,82,87
female,group D,master's degree,free/reduced,none,56,63,64
female,group C,some college,standard,completed,84,88,89
male,group B,some high school,standard,completed,65,65,61
male,group B,master's degree,standard,completed,64,58,59
female,group E,associate's degree,standard,none,65,70,69
female,group B,some college,free/reduced,completed,55,68,69
male,group D,high school,standard,none,54,55,52
female,group D,high school,standard,none,45,62,63
male,group C,bachelor's degree,standard,none,80,87,85
male,group D,some high school,free/reduced,none,60,62,59
male,group E,master's degree,free/reduced,none,65,64,64
female,group C,high school,free/reduced,none,43,39,41
male,group B,high school,standard,none,49,40,42
male,group A,some college,standard,none,69,65,60
female,group C,bachelor's degree,free/reduced,none,65,70,69
female,group E,some high school,standard,none,55,66,61
male,group B,associate's degree,standard,completed,91,81,80
female,group C,associate's degree,standard,none,82,93,92
male,group D,high school,free/reduced,none,68,73,70
female,group C,master's degree,free/reduced,completed,89,94,100
female,group A,associate's degree,standard,none,83,94,89
male,group D,associate's degree,standard,completed,70,58,68
female,group D,bachelor's degree,free/reduced,none,61,71,72
female,group B,master's degree,standard,none,61,61,62
female,group C,associate's degree,standard,completed,74,75,75
female,group C,some high school,standard,none,70,92,79
male,group D,master's degree,standard,none,87,91,93
male,group C,high school,standard,none,94,93,78
female,group C,some high school,free/reduced,none,53,66,65
female,group B,associate's degree,standard,none,87,94,93
male,group C,high school,standard,none,51,38,39
female,group C,some high school,standard,completed,53,58,59
female,group C,associate's degree,free/reduced,none,61,75,72
female,group B,master's degree,standard,none,70,78,83
female,group A,associate's degree,standard,none,58,61,59
male,group B,associate's degree,standard,none,65,53,60
male,group C,bachelor's degree,standard,none,72,74,61
male,group C,master's degree,standard,completed,94,95,92
male,group E,associate's degree,standard,none,100,92,92
female,group C,bachelor's degree,standard,completed,61,75,74
male,group B,master's degree,standard,none,86,68,72
female,group D,bachelor's degree,free/reduced,none,61,65,72
female,group C,some college,standard,none,70,86,85
male,group C,some college,standard,none,59,64,60
female,group D,master's degree,standard,completed,66,75,84
female,group D,some high school,standard,none,70,71,70
female,group C,some college,free/reduced,none,74,81,79
male,group C,associate's degree,standard,none,88,87,78
female,group C,bachelor's degree,standard,completed,67,77,85
male,group D,high school,free/reduced,completed,57,54,52
male,group A,master's degree,free/reduced,none,43,41,35
female,group E,some college,standard,none,75,78,78
male,group B,some high school,free/reduced,none,58,53,48
female,group C,some college,standard,completed,67,71,81
male,group E,high school,standard,completed,72,66,60
male,group D,some college,standard,none,70,59,58
female,group A,some college,free/reduced,none,48,57,50
male,group D,some college,standard,none,65,62,67
male,group C,some high school,free/reduced,none,74,69,67
male,group B,some college,standard,none,69,63,57
male,group E,bachelor's degree,free/reduced,completed,77,76,73
female,group B,some college,standard,none,68,84,80
male,group C,some high school,standard,completed,72,75,71
male,group C,some college,standard,none,51,52,50
female,group E,high school,standard,none,53,61,61
female,group D,associate's degree,free/reduced,none,72,71,67
male,group C,associate's degree,free/reduced,none,60,63,54
female,group B,some high school,standard,none,56,53,51
male,group E,some college,free/reduced,completed,79,77,76
female,group C,associate's degree,free/reduced,none,56,80,78
male,group C,associate's degree,standard,none,77,69,64
female,group D,some college,standard,none,42,63,63
male,group C,master's degree,free/reduced,completed,53,60,57
female,group C,some college,standard,none,73,87,82
female,group A,high school,standard,completed,83,99,92
female,group B,high school,free/reduced,completed,50,64,63
male,group E,some college,standard,none,100,91,91
male,group C,some college,standard,none,87,87,82
female,group D,some college,standard,none,76,89,89
female,group E,master's degree,standard,none,62,73,75
female,group C,some college,standard,none,75,78,73
female,group C,associate's degree,standard,none,47,60,54
female,group C,bachelor's degree,free/reduced,none,58,77,78
female,group C,master's degree,standard,completed,52,62,62
female,group C,associate's degree,standard,none,49,58,59
female,group D,some high school,free/reduced,completed,46,65,65
female,group D,high school,free/reduced,completed,69,79,84
female,group A,master's degree,standard,completed,78,88,92
female,group E,master's degree,standard,completed,83,82,87
female,group B,associate's degree,standard,none,34,49,51
female,group B,some college,standard,none,44,59,56
female,group E,some college,free/reduced,completed,53,66,68
female,group D,some college,free/reduced,none,49,61,61
female,group B,some high school,free/reduced,none,43,53,58
male,group C,some college,free/reduced,completed,65,72,68
female,group D,some high school,standard,completed,88,100,98
female,group D,some high school,standard,completed,55,70,64
female,group D,bachelor's degree,free/reduced,none,46,54,52
male,group C,some college,standard,completed,84,88,78
female,group B,high school,free/reduced,none,51,71,72
female,group D,bachelor's degree,free/reduced,completed,79,98,95
female,group C,master's degree,standard,completed,72,83,85
male,group D,bachelor's degree,free/reduced,none,45,45,50
female,group D,some high school,free/reduced,completed,71,75,80
female,group C,high school,standard,none,70,68,63
female,group C,some college,free/reduced,none,55,64,61
female,group E,some college,standard,none,84,88,83
male,group D,some high school,standard,none,72,61,66
female,group D,high school,free/reduced,none,67,91,89
female,group A,some college,free/reduced,none,48,51,54
female,group D,high school,standard,none,75,81,82
female,group C,bachelor's degree,standard,none,62,57,58
female,group C,some college,standard,none,48,55,58
male,group B,associate's degree,standard,none,68,66,63
female,group A,associate's degree,free/reduced,none,37,45,42
female,group C,bachelor's degree,standard,none,76,88,90
male,group B,some college,free/reduced,none,37,37,34
male,group C,associate's degree,free/reduced,none,66,58,55
female,group D,some college,standard,none,56,64,65
male,group D,associate's degree,free/reduced,completed,76,83,78
male,group A,some college,free/reduced,completed,53,48,42
female,group E,associate's degree,free/reduced,none,82,93,89
male,group E,some high school,standard,none,68,57,48
male,group B,master's degree,free/reduced,completed,77,79,76
male,group D,some high school,standard,completed,66,47,53
female,group E,associate's degree,standard,none,100,100,100
male,group D,some high school,standard,none,72,65,61
female,group D,some high school,standard,completed,70,81,82
male,group C,associate's degree,standard,completed,69,70,72
male,group D,associate's degree,free/reduced,none,59,61,57
female,group A,some college,free/reduced,completed,60,77,75
female,group D,associate's degree,standard,completed,73,84,86
male,group C,some college,standard,none,69,76,70
male,group C,high school,free/reduced,none,45,44,38
female,group C,some high school,free/reduced,none,36,45,44
male,group E,some college,standard,none,81,72,66
male,group A,high school,standard,completed,73,81,75
female,group C,some high school,standard,none,64,66,72
male,group C,high school,standard,none,48,54,45
male,group B,master's degree,free/reduced,none,61,60,61
male,group D,some high school,standard,none,56,58,49
female,group A,master's degree,standard,completed,80,99,100
male,group B,master's degree,standard,completed,75,75,82
female,group D,some college,free/reduced,none,68,69,77
female,group C,bachelor's degree,standard,completed,79,85,87
female,group B,some college,standard,none,80,82,82
male,group C,some college,standard,none,66,59,58
female,group B,some high school,standard,completed,63,75,77
female,group D,high school,standard,completed,85,99,100
male,group C,some high school,standard,none,77,79,66
male,group D,high school,standard,none,71,61,60
male,group B,master's degree,standard,completed,100,91,92
female,group C,high school,standard,none,57,73,71
male,group D,some college,standard,none,59,51,47
female,group D,some college,free/reduced,completed,53,63,72
male,group B,high school,standard,none,56,60,53
female,group D,some high school,standard,completed,70,69,73
male,group D,bachelor's degree,standard,none,58,59,60
female,group C,some high school,standard,none,51,66,63
female,group E,associate's degree,standard,none,96,98,95
male,group B,some high school,free/reduced,completed,41,43,44
female,group E,associate's degree,standard,none,84,86,86
male,group D,high school,free/reduced,completed,49,50,51
male,group E,some high school,standard,none,96,91,86
male,group C,some college,free/reduced,none,29,46,36
male,group E,some high school,standard,none,86,79,69
male,group E,some high school,standard,none,79,67,68
female,group C,associate's degree,free/reduced,completed,50,63,66
male,group C,some college,standard,none,57,49,43
male,group D,associate's degree,free/reduced,none,77,63,70
female,group C,high school,standard,none,62,67,61
female,group C,some college,standard,none,59,61,59
female,group C,associate's degree,standard,none,72,87,81
female,group A,some high school,free/reduced,completed,71,79,79
male,group B,associate's degree,standard,none,75,79,77
female,group C,associate's degree,free/reduced,completed,82,92,93
female,group A,master's degree,free/reduced,none,72,81,85
female,group B,associate's degree,standard,none,52,57,57
male,group D,bachelor's degree,standard,completed,62,56,56
male,group B,bachelor's degree,standard,none,73,70,75
male,group B,some college,free/reduced,completed,85,80,81
female,group D,high school,free/reduced,none,32,47,42
male,group B,some college,standard,completed,63,59,51
male,group B,bachelor's degree,standard,none,100,93,89
male,group B,bachelor's degree,free/reduced,none,66,65,59
female,group D,high school,free/reduced,none,56,70,63
female,group A,bachelor's degree,free/reduced,none,67,85,81
female,group C,associate's degree,standard,none,74,74,77
female,group E,high school,standard,completed,70,80,69
male,group C,high school,free/reduced,completed,69,70,62
male,group C,associate's degree,free/reduced,none,40,48,43
female,group A,some high school,free/reduced,completed,53,64,66
female,group C,associate's degree,standard,completed,60,80,71
female,group C,bachelor's degree,standard,completed,67,71,84
male,group E,some high school,standard,none,73,71,63
female,group C,some college,standard,completed,79,91,95
male,group B,high school,standard,completed,67,71,65
male,group C,associate's degree,free/reduced,none,74,70,72
male,group E,associate's degree,free/reduced,completed,75,84,76
female,group C,associate's degree,free/reduced,completed,51,71,62
male,group E,some college,free/reduced,none,64,65,54
male,group B,associate's degree,standard,none,58,60,52
female,group D,some college,free/reduced,completed,74,89,84
male,group C,associate's degree,standard,none,89,78,80
female,group E,associate's degree,standard,none,79,83,80
male,group D,some high school,free/reduced,none,66,57,56
female,group D,high school,standard,completed,88,91,93
female,group C,associate's degree,standard,none,67,82,72
female,group D,high school,standard,completed,86,99,98
female,group D,some college,standard,completed,68,79,85
male,group B,master's degree,free/reduced,completed,79,83,88
male,group C,some high school,standard,none,41,43,35
female,group C,associate's degree,free/reduced,none,64,70,75
female,group B,some college,free/reduced,none,53,60,62
female,group A,some high school,free/reduced,none,25,43,40
male,group D,high school,free/reduced,none,65,70,64
female,group E,high school,standard,none,88,80,88
male,group D,some college,standard,none,77,72,75
female,group B,some college,standard,completed,75,89,85
female,group E,master's degree,free/reduced,none,94,87,93
male,group C,some college,standard,none,85,78,68
male,group B,associate's degree,free/reduced,none,60,65,55
male,group A,some college,standard,none,84,72,73
female,group E,high school,standard,none,77,81,82
female,group D,some high school,standard,none,52,62,58
female,group B,some high school,standard,completed,49,62,72
female,group B,high school,standard,none,55,66,58
male,group B,some college,standard,none,77,65,58
female,group E,master's degree,standard,completed,84,87,85
female,group C,some college,standard,none,82,90,84
female,group B,high school,standard,none,50,58,54
male,group D,some college,standard,none,64,60,63
male,group D,master's degree,standard,none,88,93,83
male,group C,some high school,standard,none,76,67,65
female,group A,high school,free/reduced,none,45,55,55
female,group B,associate's degree,standard,completed,68,82,80
male,group E,some college,standard,completed,89,72,66
female,group E,associate's degree,standard,none,80,81,85
